Car Name,Rating,Exterior & Body,Engine/Transmission/Clutch,Suspension/Steering,Interior,AC/Heater,Model Date,Mileage,Fuel Type,Transmission,Last Updated Date,Offer URL,Price_numeric
MG HS 1.5 Turbo 2021,9.3/10,78%,100%,100%,96%,100%,2021.0,"29,933 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-karachi-7995148,7000000.0
Mercedes Benz C Class C180 Avantgarde 2020,10/10,100%,100%,100%,100%,100%,2020.0,"13,653 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2020-for-sale-in-karachi-7894677,22000000.0
Toyota Corolla Altis X Automatic 1.6 Special Edition 2021,9.7/10,91%,100%,100%,97%,100%,2021.0,"18,917 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-8086161,6500000.0
KIA Picanto 1.0 AT 2022,9.5/10,89%,100%,100%,87%,100%,2022.0,"9,148 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/kia-picanto-2022-for-sale-in-karachi-7903655,3300000.0
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2021,10/10,100%,100%,100%,100%,100%,2021.0,"7,908 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-8005300,7200000.0
Toyota Yaris ATIV X CVT 1.5 2021,9.2/10,76%,100%,100%,95%,100%,2021.0,"6,088 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-7902806,4550000.0
Nissan Dayz Highway star G 2020,9.5/10,85%,100%,100%,95%,100%,2020.0,"46,061 km",Hybrid,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/nissan-dayz-2020-for-sale-in-karachi-8090188,4250000.0
KIA Sportage FWD 2021,9.4/10,82%,98%,100%,96%,100%,2021.0,"19,714 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-karachi-7941519,7400000.0
Toyota Corolla Altis Grande CVT-i 1.8 2020,9.6/10,91%,98%,100%,94%,100%,2020.0,"39,389 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-karachi-7963382,5750000.0
Toyota Yaris ATIV X CVT 1.5 2021,9.8/10,94%,100%,100%,97%,100%,2021.0,"5,521 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-7891992,5600000.0
Toyota Yaris ATIV X CVT 1.5 2022,9.3/10,78%,100%,100%,97%,100%,2022.0,"14,857 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-2022-for-sale-in-karachi-7939833,5300000.0
Toyota Prius PHV (Plug In Hybrid) 2019,9.1/10,77%,100%,100%,83%,100%,2019.0,"40,932 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-prius-2019-for-sale-in-karachi-7896220,11500000.0
Toyota Corolla Altis X Automatic 1.6 2021,9.2/10,74%,100%,100%,100%,100%,2021.0,"30,880 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-8020466,5400000.0
Toyota Corolla Altis X Automatic 1.6 2021,9.3/10,80%,100%,100%,92%,100%,2021.0,"26,588 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-7979495,5300000.0
Honda Civic Turbo 1.5 VTEC CVT 2016,9.4/10,81%,100%,100%,93%,100%,2016.0,"62,411 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-karachi-7892295,4950000.0
Changan Oshan X7 FutureSense 2022,10/10,100%,100%,100%,100%,100%,2022.0,"3,555 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/changan-oshan-x7-2022-for-sale-in-karachi-8013012,8700000.0
Suzuki Swift GL CVT 2022,9.4/10,81%,100%,100%,92%,100%,2022.0,"30,176 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/suzuki-swift-2022-for-sale-in-karachi-8023385,3800000.0
Suzuki Wagon R Hybrid FX 2020,8.6/10,58%,100%,100%,89%,100%,2020.0,"32,382 km",Hybrid,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/suzuki-wagon-r-2020-for-sale-in-karachi-8063320,3500000.0
Toyota Corolla Altis X Automatic 1.6 2022,9.9/10,100%,100%,100%,97%,100%,2022.0,"15,897 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-faisalabad-8141306,5650000.0
Hyundai Elantra 2017,8.9/10,65%,100%,100%,95%,100%,2017.0,"124,982 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/hyundai-elantra-2017-for-sale-in-lahore-8063261,4600000.0
Honda Civic VTi Prosmatec 1.8 i-VTEC 2015,8.4/10,51%,99%,100%,88%,100%,2015.0,"107,130 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-faisalabad-8122369,3500000.0
Mercedes Benz C Class C180 2019,9.9/10,97%,100%,100%,97%,100%,2019.0,"34,362 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2019-for-sale-in-lahore-8016234,19900000.0
Toyota Corolla Altis Automatic 1.6 2019,8.0/10,40%,98%,100%,91%,100%,2019.0,"58,350 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-8063330,4850000.0
KIA Sorento 3.5 FWD 2021,9.7/10,93%,100%,96%,98%,100%,2021.0,"26,120 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/kia-sorento-2021-for-sale-in-karachi-7999688,10400000.0
Changan Alsvin 1.5L DCT Lumiere 2022,9.6/10,90%,100%,100%,93%,100%,2022.0,"15,926 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/changan-alsvin-2022-for-sale-in-karachi-8063340,3990000.0
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,9.9/10,98%,100%,100%,100%,100%,2022.0,"11,278 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-8079909,6965000.000000001
Honda City 1.2L CVT 2022,10/10,100%,100%,100%,100%,100%,2022.0,"2,291 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-karachi-8069650,4900000.0
Suzuki Alto VXL AGS 2022,9.1/10,73%,100%,100%,87%,100%,2022.0,"9,578 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-karachi-8021600,3150000.0
Toyota Fortuner Legender  2022,9.8/10,95%,100%,100%,100%,100%,2022.0,"15,640 km",Diesel,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-fortuner-2022-for-sale-in-karachi-8040970,19300000.0
Honda City 1.5L ASPIRE CVT 2021,9.5/10,84%,100%,100%,100%,100%,2021.0,"12,499 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-karachi-8065017,4750000.0
Hyundai Elantra GLS 2021,9.6/10,90%,100%,96%,98%,100%,2021.0,"28,111 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/hyundai-elantra-2021-for-sale-in-lahore-8144656,6000000.0
KIA Sportage AWD 2021,9.5/10,85%,100%,100%,98%,100%,2021.0,"35,725 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-lahore-7936792,7490000.000000001
Honda City 1.2L CVT 2022,9.8/10,95%,100%,100%,97%,100%,2022.0,"18,225 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-lahore-8125583,4600000.0
Changan Alsvin 1.5L DCT Lumiere 2022,9.9/10,97%,100%,100%,100%,100%,2022.0,"8,822 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/changan-alsvin-2022-for-sale-in-gujranwala-7943287,4500000.0
Honda Civic Oriel 1.8 i-VTEC CVT 2021,9.4/10,80%,100%,100%,100%,100%,2021.0,"35,727 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-8140200,7000000.0
Changan Alsvin 1.5L DCT Lumiere 2022,9.9/10,96%,100%,100%,97%,100%,2022.0,"7,119 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/changan-alsvin-2022-for-sale-in-lahore-8019915,4500000.0
